zone_id,coordinates
Z1,"[[(73.75478115831758, 18.38122357413738), (73.75478115831758, 18.51973236259186), (73.68413633295151, 18.51973236259186), (73.68413633295151, 18.38122357413738), (73.75478115831758, 18.38122357413738)]]"
Z2,"[[(73.82542598368366, 18.38122357413738), (73.82542598368366, 18.51973236259186), (73.75478115831758, 18.51973236259186), (73.75478115831758, 18.38122357413738), (73.82542598368366, 18.38122357413738)]]"
Z3,"[[(73.89607080904975, 18.38122357413738), (73.89607080904975, 18.51973236259186), (73.82542598368366, 18.51973236259186), (73.82542598368366, 18.38122357413738), (73.89607080904975, 18.38122357413738)]]"
Z4,"[[(73.96671563441582, 18.38122357413738), (73.96671563441582, 18.51973236259186), (73.89607080904975, 18.51973236259186), (73.89607080904975, 18.38122357413738), (73.96671563441582, 18.38122357413738)]]"
Z5,"[[(74.0373604597819, 18.38122357413738), (74.0373604597819, 18.51973236259186), (73.96671563441582, 18.51973236259186), (73.96671563441582, 18.38122357413738), (74.0373604597819, 18.38122357413738)]]"
Z6,"[[(73.75478115831758, 18.51973236259186), (73.75478115831758, 18.65824115104634), (73.68413633295151, 18.65824115104634), (73.68413633295151, 18.51973236259186), (73.75478115831758, 18.51973236259186)]]"
Z7,"[[(73.82542598368366, 18.51973236259186), (73.82542598368366, 18.65824115104634), (73.75478115831758, 18.65824115104634), (73.75478115831758, 18.51973236259186), (73.82542598368366, 18.51973236259186)]]"
Z8,"[[(73.89607080904975, 18.51973236259186), (73.89607080904975, 18.65824115104634), (73.82542598368366, 18.65824115104634), (73.82542598368366, 18.51973236259186), (73.89607080904975, 18.51973236259186)]]"
Z9,"[[(73.96671563441582, 18.51973236259186), (73.96671563441582, 18.65824115104634), (73.89607080904975, 18.65824115104634), (73.89607080904975, 18.51973236259186), (73.96671563441582, 18.51973236259186)]]"
Z10,"[[(74.0373604597819, 18.51973236259186), (74.0373604597819, 18.65824115104634), (73.96671563441582, 18.65824115104634), (73.96671563441582, 18.51973236259186), (74.0373604597819, 18.51973236259186)]]"
